Column1,Sentiment,RealSentiment,TweetID,Date,Query,User,Tweet,VADER_Score,VADER_Compound,VADER_Sentiment,SentiStrengthSentiment,SentiStrengthScore,BERTSentiment,BERTDetails,BERTSentiment1,BERTDetails1,BERTSentiment2,BERTDetails2
388,0,Negative,2382,Tue Jun 02 03:15:32 UTC 2009,time warner,floatingatoll,Cox or Time Warner?  Cox is cheaper and gets a B on dslreports.  TW is more expensive and gets a C.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-1,Negative,"tensor([[-0.8386, -1.1024, -0.4251]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2336,  0.1394, -0.2329]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0461, -0.2177,  0.0791]], grad_fn=<AddmmBackward>)"
389,0,Negative,2383,Tue Jun 02 03:15:52 UTC 2009,time warner,kippy2,i am furious with time warner and their phone promotions!,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.6114}",-0.6114,Negative,Negative,-4,Positive,"tensor([[-0.2194, -1.1351, -0.7919]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1729, -0.2235,  0.3459]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.1886, -0.1368, -0.3009]], grad_fn=<AddmmBackward>)"
390,0,Negative,2384,Tue Jun 02 03:16:23 UTC 2009,time warner,iamtony,Just got home from chick-fil-a with the boys. Damn my internets down =( stupid time warner,"{'neg': 0.303, 'neu': 0.697, 'pos': 0.0, 'compound': -0.7269}",-0.7269,Negative,Negative,-1,Positive,"tensor([[-0.3832, -0.7201,  0.0519]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.2604, 0.1245, 1.2272]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.1078, -0.3501,  0.2390]], grad_fn=<AddmmBackward>)"
391,0,Negative,2385,Tue Jun 02 03:16:42 UTC 2009,time warner,dcwhip,could time-warner cable suck more?  NO.,"{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.4404}",-0.4404,Negative,Negative,-1,Positive,"tensor([[-0.7160, -0.7447,  0.0152]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0884, -0.3097,  0.4726]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0328, -0.0295,  0.1840]], grad_fn=<AddmmBackward>)"
392,0,Negative,2386,Tue Jun 02 03:17:03 UTC 2009,time warner,JustGLB,Pissed at Time Warner for causin me to have slow internet problems,"{'neg': 0.408, 'neu': 0.592, 'pos': 0.0, 'compound': -0.7845}",-0.7845,Negative,Negative,-2,Positive,"tensor([[-0.4853, -0.5489,  0.0955]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2081, -0.4819,  0.5223]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4306, -0.1957,  0.8051]], grad_fn=<AddmmBackward>)"
393,0,Negative,2387,Tue Jun 02 03:18:04 UTC 2009,time warner,chaneykyoto,"@sportsguy33 Ummm, having some Time Warner problems?","{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negative,Neutral,0,Negative,"tensor([[-0.4696, -0.6664, -0.0366]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1692, -0.2258,  0.4222]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0167, -0.3639, -0.1072]], grad_fn=<AddmmBackward>)"
394,0,Negative,2388,Tue Jun 02 03:18:49 UTC 2009,time warner,ldmullen,You guys see this?  Why does Time Warner have to suck so much ass?  Really wish I could get U-Verse at my apartment. http://bit.ly/s594j,"{'neg': 0.227, 'neu': 0.677, 'pos': 0.096, 'compound': -0.6181}",-0.6181,Negative,Negative,-1,Positive,"tensor([[-0.3149, -0.9626,  0.1674]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2165, -0.3491,  0.3570]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4220, -0.2641,  0.7575]], grad_fn=<AddmmBackward>)"
395,0,Negative,2389,Tue Jun 02 03:22:08 UTC 2009,time warner,JohnTurlington,"RT @sportsguy33 The upside to Time Warner: unhelpful phone operators   superslow on-site service. Crap, that's not an upside.","{'neg': 0.133, 'neu': 0.867, 'pos': 0.0, 'compound': -0.3818}",-0.3818,Negative,Negative,-2,Negative,"tensor([[-0.1891, -0.9617,  0.2856]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2817, -1.1095,  0.4070]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3523, -0.0740,  0.6083]], grad_fn=<AddmmBackward>)"
396,0,Negative,2390,Tue Jun 02 03:22:19 UTC 2009,time warner,johnscleary,"RT @sportsguy33: New Time Warner slogan: ""Time Warner, where we make you long for the days before cable.""","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.6141, -1.0909, -0.4130]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2624, -0.8538,  0.8485]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0996, -0.0859,  0.3262]], grad_fn=<AddmmBackward>)"
397,0,Negative,2391,Tue Jun 02 03:23:36 UTC 2009,time warner,ecormany,"confirmed: it's Time Warner's fault, not Facebook's, that fb is taking about 3 minutes to load. so tempted to switch to verizon =/","{'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.6249}",-0.6249,Negative,Negative,-1,Positive,"tensor([[-0.7229, -0.7284,  0.0693]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.5414, 0.0102, 0.6173]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0705, -0.3226,  0.3585]], grad_fn=<AddmmBackward>)"
398,0,Negative,2392,Tue Jun 02 03:24:00 UTC 2009,time warner,matsonj,@sportsguy33 Time Warner = epic fail,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5423}",-0.5423,Negative,Negative,-2,Negative,"tensor([[-0.8570, -1.3394,  0.6856]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3293, -0.3774, -0.0478]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2106, -0.2305,  0.5077]], grad_fn=<AddmmBackward>)"
399,2,Neutral,2393,Tue Jun 02 03:24:45 UTC 2009,china,YildirimNews,Lawson to head Newedge Hong Kong http://bit.ly/xLQSD #business #china,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.4573, -0.3374, -0.5038]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1156, -0.2787, -0.2538]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5025,  0.2423, -0.0761]], grad_fn=<AddmmBackward>)"
400,2,Neutral,2394,Tue Jun 02 03:24:59 UTC 2009,china,zedomax,Weird Piano Guitar House in China! http://u2s.me/72i8,"{'neg': 0.249, 'neu': 0.751, 'pos': 0.0, 'compound': -0.2481}",-0.2481,Negative,Negative,-2,Positive,"tensor([[-0.4336, -0.6485,  0.3903]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3402, -0.6095,  0.2583]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.5258, -0.1329,  0.3720]], grad_fn=<AddmmBackward>)"
401,2,Neutral,2395,Tue Jun 02 03:27:19 UTC 2009,gm,theprovince,Send us your GM/Chevy photos http://tinyurl.com/luzkpq,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.3987, -0.5869, -0.4565]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0076, -0.0547,  0.5977]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5818, -0.0082, -0.1775]], grad_fn=<AddmmBackward>)"
402,0,Negative,2396,Tue Jun 02 03:27:34 UTC 2009,gm,PeteHall,I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM.,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.6712}",-0.6712,Negative,Negative,-3,Positive,"tensor([[-0.4471, -1.0697, -0.1063]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0500, -0.7025,  1.0812]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.1526,  0.2742, -0.0407]], grad_fn=<AddmmBackward>)"
403,0,Negative,2397,Tue Jun 02 03:27:52 UTC 2009,gm,ram_zone,"GM files Bankruptcy, not a good sign...","{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.3412}",-0.3412,Negative,Positive,1,Positive,"tensor([[-0.8757, -1.3231, -0.2942]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0480, -0.0405,  0.2387]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1717, -0.0432,  0.3025]], grad_fn=<AddmmBackward>)"
404,4,Positive,2398,Tue Jun 02 03:28:41 UTC 2009,yankees,irishyanks,yankees won mets lost. its a good day.,"{'neg': 0.165, 'neu': 0.36, 'pos': 0.475, 'compound': 0.6486}",0.6486,Positive,Positive,1,Positive,"tensor([[-0.4736, -1.1073, -0.5706]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0192, -0.6420, -0.3241]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0473, -0.3087,  0.5875]], grad_fn=<AddmmBackward>)"
405,4,Positive,2399,Tue Jun 02 03:29:47 UTC 2009,dentist,Erinthebigsis,My dentist appt today was actually quite enjoyable.,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",0.4927,Positive,Positive,1,Positive,"tensor([[-0.4524, -0.5333, -0.2299]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.2419, -0.7589,  0.0083]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0764,  0.1670, -0.1979]], grad_fn=<AddmmBackward>)"
406,0,Negative,2400,Tue Jun 02 03:32:10 UTC 2009,dentist,cassieeeelove,I hate the effing dentist.,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.5719}",-0.5719,Negative,Negative,-3,Positive,"tensor([[-0.2554, -0.7846,  0.1595]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4416, -0.1742,  0.4548]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1629, -0.2683,  0.0434]], grad_fn=<AddmmBackward>)"
407,2,Neutral,2401,Tue Jun 02 03:32:28 UTC 2009,dentist,johnnyt183,@stevemoakler i had a dentist appt this morning and had the same conversation!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-2,Positive,"tensor([[-0.3170, -0.9018, -0.1686]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0162,  0.3425,  0.0723]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.5603, -0.5230, -0.0863]], grad_fn=<AddmmBackward>)"
408,0,Negative,2402,Tue Jun 02 03:33:25 UTC 2009,dentist,b_bassi,@kirstiealley I hate going to the dentist.. !!!,"{'neg': 0.395, 'neu': 0.605, 'pos': 0.0, 'compound': -0.6784}",-0.6784,Negative,Negative,-4,Positive,"tensor([[-0.2442, -0.8431, -0.0227]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0256, -0.0476,  0.6613]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1467, -0.1629,  0.3809]], grad_fn=<AddmmBackward>)"
409,0,Negative,2403,Tue Jun 02 03:34:23 UTC 2009,dentist,cmg11,i hate the dentist....who invented them anyways?,"{'neg': 0.381, 'neu': 0.619, 'pos': 0.0, 'compound': -0.5719}",-0.5719,Negative,Negative,-3,Positive,"tensor([[-0.3481, -0.2494, -0.2137]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1667, -0.3347,  0.5524]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1140, -0.8306,  0.2985]], grad_fn=<AddmmBackward>)"
410,0,Negative,2404,Tue Jun 02 03:34:37 UTC 2009,dentist,arianaflyy,this dentist's office is cold :/,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative,Negative,-1,Neutral,"tensor([[-0.6469, -0.7944, -0.2741]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2694, -0.3149,  0.2001]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5408, -0.2533,  0.0820]], grad_fn=<AddmmBackward>)"
411,2,Neutral,2405,Tue Jun 02 03:34:50 UTC 2009,dentist,jettellis,Check this video out -- David After Dentist http://bit.ly/47aW2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[-0.1343, -0.9152, -0.2838]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0080, -0.3741,  0.6020]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4594, -0.1923, -0.1575]], grad_fn=<AddmmBackward>)"
412,2,Neutral,2406,Tue Jun 02 03:35:05 UTC 2009,dentist,AdiOpERsOcoM,First dentist appointment [in years] on Wednesday possibly.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-1,Positive,"tensor([[-0.3351, -0.8664, -0.1992]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2616, -0.0582,  0.9700]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[ 0.2654, -0.0898, -0.3040]], grad_fn=<AddmmBackward>)"
413,2,Neutral,2407,Tue Jun 02 04:29:14 UTC 2009,baseball,HallofChampions,Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[ 0.1091, -1.0663, -0.1074]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.5626, 0.0383, 0.2477]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2008, -0.3767,  0.6576]], grad_fn=<AddmmBackward>)"
414,2,Neutral,2408,Tue Jun 02 04:29:17 UTC 2009,baseball,SimpleManJess,BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.296}",0.296,Positive,Neutral,0,Positive,"tensor([[-0.3036, -0.9001,  0.3915]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5047, -0.2422, -0.1627]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3235,  0.2265, -0.0859]], grad_fn=<AddmmBackward>)"
415,2,Neutral,2409,Tue Jun 02 04:29:28 UTC 2009,baseball,Oregon_Live,Portland city politics may undo baseball park http://tinyurl.com/lpjquj,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-1,Positive,"tensor([[-0.2554, -0.6190, -0.4872]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2566, -0.6361,  0.8075]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2779,  0.1478, -0.1459]], grad_fn=<AddmmBackward>)"
416,2,Neutral,2410,Tue Jun 02 04:39:41 UTC 2009,safeway,AirDye,"RT @WaterSISWEB: CA Merced's water bottled by Safeway, resold at a profit: Wells are drying up across the county http://tinyurl.com/mb573s","{'neg': 0.0, 'neu': 0.786, 'pos': 0.214, 'compound': 0.5994}",0.5994,Positive,Positive,1,Positive,"tensor([[-1.0019, -0.4179, -0.3482]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0090, -0.0373,  0.2313]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.2682, 0.1572, 0.0441]], grad_fn=<AddmmBackward>)"
417,2,Neutral,2411,Tue Jun 02 04:40:09 UTC 2009,safeway,csquaredx,dropped her broccoli walking home from safeway! ;( so depressed,"{'neg': 0.335, 'neu': 0.665, 'pos': 0.0, 'compound': -0.674}",-0.674,Negative,Negative,-1,Positive,"tensor([[-0.9186, -0.0111,  0.1773]], grad_fn=<AddmmBackward>)",Negative,"tensor([[0.9844, 0.2458, 0.1408]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1086,  0.5704,  0.0856]], grad_fn=<AddmmBackward>)"
418,2,Neutral,2412,Tue Jun 02 04:41:05 UTC 2009,safeway,XPhile1908,@ronjon we don't have Safeway.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Negative,"tensor([[ 0.0900, -0.6624,  0.2473]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4400, -0.1951,  0.8282]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3284, -0.4768,  0.0487]], grad_fn=<AddmmBackward>)"
419,4,Positive,2413,Tue Jun 02 04:41:13 UTC 2009,safeway,LaurenAmor,Just applied at Safeway!(: Yeeeee!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,2,Negative,"tensor([[-0.2248, -0.8966,  0.1736]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4099, -0.3472,  0.7114]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.1222, -0.2465,  0.4545]], grad_fn=<AddmmBackward>)"
420,0,Negative,2414,Tue Jun 02 04:41:24 UTC 2009,safeway,TravisJensenSF,@ Safeway. Place is a nightmare right now. Bumming.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-2,Negative,"tensor([[-0.8141, -0.6849, -0.0777]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2803, -0.2396,  0.1212]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.1457, 0.0865, 0.3097]], grad_fn=<AddmmBackward>)"
421,2,Neutral,2415,Tue Jun 02 04:41:32 UTC 2009,safeway,Lovely_Lauren,at safeway with dad,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Positive,"tensor([[-0.7914, -0.6223, -0.1395]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4574, -0.4083, -0.1729]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4039, -0.2107,  0.3987]], grad_fn=<AddmmBackward>)"
422,0,Negative,2416,Tue Jun 02 04:41:41 UTC 2009,safeway,fugface85,"HATE safeway select green tea icecream! bought two cartons, what a waste of money.  &gt;_&lt;","{'neg': 0.367, 'neu': 0.633, 'pos': 0.0, 'compound': -0.8188}",-0.8188,Negative,Negative,-3,Positive,"tensor([[-0.3168, -0.6915,  0.4135]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0703, -0.7370,  0.4846]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2625, -0.2118,  0.2927]], grad_fn=<AddmmBackward>)"
423,2,Neutral,2417,Tue Jun 02 04:42:00 UTC 2009,safeway,_JessicaJOY,"Safeway with Marvin, Janelle, and Auntie Lhu","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Positive,"tensor([[-0.4058, -0.4660, -0.8033]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3396, -0.3853,  0.4975]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0068,  0.0798, -0.3549]], grad_fn=<AddmmBackward>)"
424,2,Neutral,2418,Tue Jun 02 04:42:29 UTC 2009,safeway,mobileadgirl,Safeway offering mobile coupons http://bit.ly/ONH7w,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Positive,1,Negative,"tensor([[ 0.0507, -0.2070, -0.2523]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.2264, -0.4370, -0.0138]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1796, -0.0170,  0.3211]], grad_fn=<AddmmBackward>)"
425,2,Neutral,2419,Tue Jun 02 06:52:26 UTC 2009,driving,m_marchesi,"Phillies Driving in the Cadillac with the Top Down in Cali, Win 5-3 - http://tinyurl.com/nzcjqa","{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.6808}",0.6808,Positive,Neutral,0,Negative,"tensor([[-0.4241, -0.8000,  0.1506]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0227, -0.7188,  0.3291]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1384,  0.3680,  0.2902]], grad_fn=<AddmmBackward>)"
426,2,Neutral,2421,Tue Jun 02 06:53:09 UTC 2009,eating,TheDebtress,Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town.,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4215}",0.4215,Positive,Positive,1,Positive,"tensor([[-0.3297, -0.4945, -0.0271]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.3054, -0.4349,  0.1198]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1775, -0.3098,  0.0519]], grad_fn=<AddmmBackward>)"
427,2,Neutral,2422,Tue Jun 02 06:53:15 UTC 2009,eating,face_of_boe,"Lounging around, eating Taco Bell and watching NCIS before work tonight. Need help staying awake.","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.4019,Positive,Neutral,0,Negative,"tensor([[-0.4926, -0.3987, -0.4454]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.1128, -0.1430,  0.2766]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0597, -0.2242,  0.0971]], grad_fn=<AddmmBackward>)"
428,2,Neutral,2426,Tue Jun 02 06:53:30 UTC 2009,eating,LaraAvni,eating breakfast and then school,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.4879, -1.1270, -0.0247]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.0423, -0.4880, -0.1956]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.2626,  0.2576, -0.0177]], grad_fn=<AddmmBackward>)"
429,2,Neutral,2427,Tue Jun 02 06:53:32 UTC 2009,eating,elpasira,still hungry after eating....,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-1,Positive,"tensor([[-0.6720, -0.7962, -0.1685]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2937, -0.3302,  0.9264]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.3344, -0.2452, -0.0893]], grad_fn=<AddmmBackward>)"
430,2,Neutral,2428,Tue Jun 02 06:53:45 UTC 2009,eating,Fitness_101,10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn,"{'neg': 0.0, 'neu': 0.592, 'pos': 0.408, 'compound': 0.7096}",0.7096,Positive,Neutral,0,Negative,"tensor([[-0.5105, -0.6622, -0.2744]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5442, -0.7769,  0.2660]], grad_fn=<AddmmBackward>)",Positive,"tensor([[0.0633, 0.2756, 0.2656]], grad_fn=<AddmmBackward>)"
431,2,Neutral,2429,Tue Jun 02 06:54:11 UTC 2009,eating,ohmurder,"with the boyfriend, eating a quesadilla","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.9168, -0.9113, -0.0830]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4328, -0.1240,  0.1511]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.6496, -0.3332,  0.2011]], grad_fn=<AddmmBackward>)"
432,2,Neutral,2430,Tue Jun 02 06:54:19 UTC 2009,eating,whoaoblivious,"Eating dinner. Meat, chips, and risotto.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.8439, -1.0352, -0.3771]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2710, -0.5067,  0.1307]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.4769,  0.1345,  0.0930]], grad_fn=<AddmmBackward>)"
433,2,Neutral,2502,Thu Jun 04 16:53:02 UTC 2009,nike,stefanjos,got a new pair of nike shoes. pics up later,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.6546, -0.3350, -0.0951]], grad_fn=<AddmmBackward>)",Negative,"tensor([[ 0.2771, -0.3246,  0.5514]], grad_fn=<AddmmBackward>)",Neutral,"tensor([[-0.5963,  0.0340,  0.0907]], grad_fn=<AddmmBackward>)"
434,2,Neutral,2503,Thu Jun 04 16:53:15 UTC 2009,nike,nsborg,"Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.2851, -0.3195, -0.2308]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.2189, -0.3264,  0.1620]], grad_fn=<AddmmBackward>)",Negative,"tensor([[-0.0490,  0.1038, -0.0652]], grad_fn=<AddmmBackward>)"
435,4,Positive,2504,Thu Jun 04 16:53:20 UTC 2009,nike,marieforleo,Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes,"{'neg': 0.0, 'neu': 0.651, 'pos': 0.349, 'compound': 0.8805}",0.8805,Positive,Positive,3,Positive,"tensor([[-0.9388,  0.2017, -0.2654]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.4445, -0.4223,  0.5624]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.5454,  0.2287,  0.2656]], grad_fn=<AddmmBackward>)"
436,2,Neutral,2505,Thu Jun 04 16:53:48 UTC 2009,nike,imflashy,Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Neutral,0,Positive,"tensor([[-0.0785, -0.7930,  0.0493]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.0191, -0.1854, -0.3185]], grad_fn=<AddmmBackward>)",Positive,"tensor([[-0.1121, -0.7281,  0.1118]], grad_fn=<AddmmBackward>)"
437,4,Positive,2506,Thu Jun 04 16:54:17 UTC 2009,nike,TheGlossMagazin,@evelynbyrne have you tried Nike  ? V. addictive.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral,Negative,-1,Positive,"tensor([[-0.3411, -0.6117,  0.2917]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.5221, -0.0294,  0.2926]], grad_fn=<AddmmBackward>)",Positive,"tensor([[ 0.0159, -0.3501,  0.1784]], grad_fn=<AddmmBackward>)"
